ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:17:12,facultylens-perf-scheduler,0.08%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:12,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,65.3kB / 531kB,9.4MB / 709kB
17:17:12,facultylens-perf-app,0.00%,69.08MiB / 7.317GiB,0.92%,27.7MB / 83.1MB,7.63MB / 717kB
17:17:12,facultylens-perf-nginx,0.00%,15.45MiB / 7.317GiB,0.21%,880MB / 897MB,13.4MB / 4.1kB
17:17:12,facultylens-perf-redis,0.35%,11.37MiB / 7.317GiB,0.15%,597MB / 1.14GB,38.8MB / 786MB
17:17:12,facultylens-perf-mysql,0.42%,617.1MiB / 7.317GiB,8.24%,269MB / 929MB,50.6MB / 2.56GB
17:17:12,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:17:19,facultylens-perf-scheduler,0.06%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:19,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,66.7kB / 544kB,9.4MB / 709kB
17:17:19,facultylens-perf-app,0.00%,69.07MiB / 7.317GiB,0.92%,27.7MB / 83.1MB,7.63MB / 717kB
17:17:19,facultylens-perf-nginx,0.00%,15.45MiB / 7.317GiB,0.21%,880MB / 897MB,13.4MB / 4.1kB
17:17:19,facultylens-perf-redis,2.49%,11.8MiB / 7.317GiB,0.16%,597MB / 1.14GB,38.8MB / 786MB
17:17:19,facultylens-perf-mysql,0.30%,617MiB / 7.317GiB,8.24%,269MB / 929MB,50.6MB / 2.56GB
17:17:19,facultylens-perf-ai-service,0.08%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:17:26,facultylens-perf-scheduler,0.06%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:26,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,67.8kB / 553kB,9.4MB / 709kB
17:17:26,facultylens-perf-app,0.00%,69.11MiB / 7.317GiB,0.92%,28MB / 83.6MB,7.63MB / 717kB
17:17:26,facultylens-perf-nginx,0.00%,15.45MiB / 7.317GiB,0.21%,880MB / 898MB,13.4MB / 4.1kB
17:17:26,facultylens-perf-redis,0.33%,11.75MiB / 7.317GiB,0.16%,598MB / 1.14GB,38.8MB / 786MB
17:17:26,facultylens-perf-mysql,0.35%,617MiB / 7.317GiB,8.24%,270MB / 929MB,50.6MB / 2.56GB
17:17:26,facultylens-perf-ai-service,2.87%,415.2MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:17:33,facultylens-perf-scheduler,0.07%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:33,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,69.2kB / 566kB,9.4MB / 709kB
17:17:33,facultylens-perf-app,0.00%,69.13MiB / 7.317GiB,0.92%,28.4MB / 84.4MB,7.63MB / 717kB
17:17:33,facultylens-perf-nginx,0.00%,15.45MiB / 7.317GiB,0.21%,880MB / 898MB,13.4MB / 4.1kB
17:17:33,facultylens-perf-redis,0.30%,12.59MiB / 7.317GiB,0.17%,598MB / 1.14GB,38.8MB / 787MB
17:17:33,facultylens-perf-mysql,0.40%,617.5MiB / 7.317GiB,8.24%,270MB / 930MB,50.6MB / 2.57GB
17:17:33,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:17:41,facultylens-perf-scheduler,0.07%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:41,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,70.7kB / 579kB,9.4MB / 709kB
17:17:41,facultylens-perf-app,2.59%,69.15MiB / 7.317GiB,0.92%,28.4MB / 84.4MB,7.63MB / 717kB
17:17:41,facultylens-perf-nginx,0.09%,15.46MiB / 7.317GiB,0.21%,880MB / 898MB,13.4MB / 4.1kB
17:17:41,facultylens-perf-redis,0.34%,12.02MiB / 7.317GiB,0.16%,598MB / 1.14GB,38.8MB / 787MB
17:17:41,facultylens-perf-mysql,1.24%,617.3MiB / 7.317GiB,8.24%,270MB / 930MB,50.6MB / 2.57GB
17:17:41,facultylens-perf-ai-service,0.10%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:17:48,facultylens-perf-scheduler,0.07%,32.43MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:17:48,facultylens-perf-worker,0.00%,41.31MiB / 7.317GiB,0.55%,71.8kB / 589kB,9.4MB / 709kB
