ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
16:44:09,facultylens-perf-worker,0.07%,43.05MiB / 7.317GiB,0.57%,190kB / 1.59MB,31.4MB / 709kB
16:44:09,facultylens-perf-scheduler,0.07%,32.43MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:09,facultylens-perf-app,0.00%,47.12MiB / 7.317GiB,0.63%,44.9MB / 101MB,1.5MB / 713kB
16:44:09,facultylens-perf-nginx,0.80%,14.46MiB / 7.317GiB,0.19%,28.8MB / 29.9MB,11.1MB / 4.1kB
16:44:09,facultylens-perf-redis,0.32%,10.35MiB / 7.317GiB,0.14%,70.4MB / 15.9MB,28.5MB / 67.2MB
16:44:09,facultylens-perf-mysql,0.45%,589.8MiB / 7.317GiB,7.87%,57.7MB / 95.4MB,41.6MB / 1.3GB
16:44:09,facultylens-perf-ai-service,0.11%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:16,facultylens-perf-worker,0.07%,43.05MiB / 7.317GiB,0.57%,192kB / 1.61MB,31.4MB / 709kB
16:44:16,facultylens-perf-scheduler,0.07%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:16,facultylens-perf-app,0.00%,47.11MiB / 7.317GiB,0.63%,44.9MB / 101MB,1.5MB / 713kB
16:44:16,facultylens-perf-nginx,0.00%,14.46MiB / 7.317GiB,0.19%,28.8MB / 29.9MB,11.1MB / 4.1kB
16:44:16,facultylens-perf-redis,0.36%,10.59MiB / 7.317GiB,0.14%,70.4MB / 15.9MB,28.5MB / 67.2MB
16:44:16,facultylens-perf-mysql,0.39%,589.6MiB / 7.317GiB,7.87%,57.7MB / 95.4MB,41.6MB / 1.3GB
16:44:16,facultylens-perf-ai-service,0.10%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:23,facultylens-perf-worker,0.00%,43.05MiB / 7.317GiB,0.57%,193kB / 1.62MB,31.4MB / 709kB
16:44:23,facultylens-perf-scheduler,0.07%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:23,facultylens-perf-app,0.00%,47.12MiB / 7.317GiB,0.63%,45.3MB / 102MB,1.5MB / 713kB
16:44:23,facultylens-perf-nginx,0.00%,14.46MiB / 7.317GiB,0.19%,29.1MB / 30.2MB,11.1MB / 4.1kB
16:44:23,facultylens-perf-redis,0.26%,10.32MiB / 7.317GiB,0.14%,70.4MB / 16.1MB,28.5MB / 67.2MB
16:44:23,facultylens-perf-mysql,0.41%,589.6MiB / 7.317GiB,7.87%,57.8MB / 95.6MB,41.6MB / 1.3GB
16:44:23,facultylens-perf-ai-service,0.13%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:30,facultylens-perf-worker,0.07%,43.05MiB / 7.317GiB,0.57%,195kB / 1.63MB,31.4MB / 709kB
16:44:30,facultylens-perf-scheduler,0.06%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:30,facultylens-perf-app,0.00%,47.12MiB / 7.317GiB,0.63%,45.9MB / 102MB,1.5MB / 713kB
16:44:30,facultylens-perf-nginx,0.00%,14.59MiB / 7.317GiB,0.19%,29.5MB / 30.6MB,11.1MB / 4.1kB
16:44:30,facultylens-perf-redis,0.34%,10.52MiB / 7.317GiB,0.14%,70.5MB / 16.4MB,28.5MB / 67.2MB
16:44:30,facultylens-perf-mysql,0.42%,589.6MiB / 7.317GiB,7.87%,57.9MB / 95.9MB,41.6MB / 1.3GB
16:44:30,facultylens-perf-ai-service,0.10%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:38,facultylens-perf-worker,0.07%,43.05MiB / 7.317GiB,0.57%,196kB / 1.64MB,31.4MB / 709kB
16:44:38,facultylens-perf-scheduler,0.07%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:38,facultylens-perf-app,1.91%,47.13MiB / 7.317GiB,0.63%,45.9MB / 102MB,1.5MB / 713kB
16:44:38,facultylens-perf-nginx,0.09%,14.71MiB / 7.317GiB,0.20%,29.6MB / 30.7MB,11.1MB / 4.1kB
16:44:38,facultylens-perf-redis,0.31%,10.52MiB / 7.317GiB,0.14%,70.5MB / 16.4MB,28.5MB / 67.2MB
16:44:38,facultylens-perf-mysql,3.41%,589.6MiB / 7.317GiB,7.87%,57.9MB / 95.9MB,41.6MB / 1.3GB
16:44:38,facultylens-perf-ai-service,0.12%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:45,facultylens-perf-worker,0.07%,43.05MiB / 7.317GiB,0.57%,197kB / 1.65MB,31.4MB / 709kB
16:44:45,facultylens-perf-scheduler,0.08%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:45,facultylens-perf-app,0.00%,47.12MiB / 7.317GiB,0.63%,46.8MB / 103MB,1.5MB / 713kB
16:44:45,facultylens-perf-nginx,0.00%,14.46MiB / 7.317GiB,0.19%,30MB / 31.2MB,11.1MB / 4.1kB
16:44:45,facultylens-perf-redis,0.29%,11.09MiB / 7.317GiB,0.15%,70.5MB / 17MB,28.5MB / 67.2MB
16:44:45,facultylens-perf-mysql,0.42%,589.6MiB / 7.317GiB,7.87%,57.9MB / 96.2MB,41.6MB / 1.31GB
16:44:45,facultylens-perf-ai-service,0.10%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:44:52,facultylens-perf-worker,0.08%,43.05MiB / 7.317GiB,0.57%,199kB / 1.66MB,31.4MB / 709kB
16:44:52,facultylens-perf-scheduler,0.07%,32.44MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:44:52,facultylens-perf-app,0.01%,47.13MiB / 7.317GiB,0.63%,47.2MB / 103MB,1.5MB / 713kB
16:44:52,facultylens-perf-nginx,0.00%,14.46MiB / 7.317GiB,0.19%,30.3MB / 31.4MB,11.1MB / 4.1kB
16:44:52,facultylens-perf-redis,2.58%,11.11MiB / 7.317GiB,0.15%,70.5MB / 17MB,28.6MB / 67.3MB
16:44:52,facultylens-perf-mysql,0.40%,589.6MiB / 7.317GiB,7.87%,58MB / 96.4MB,41.6MB / 1.31GB
16:44:52,facultylens-perf-ai-service,0.11%,382.7MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:45:00,facultylens-perf-worker,0.00%,43.05MiB / 7.317GiB,0.57%,200kB / 1.67MB,31.4MB / 709kB
16:45:00,facultylens-perf-scheduler,3.48%,32.43MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
