ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:15:05,facultylens-perf-scheduler,0.07%,31.84MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:15:05,facultylens-perf-worker,0.00%,40.5MiB / 7.317GiB,0.54%,40.9kB / 323kB,9.4MB / 709kB
17:15:05,facultylens-perf-app,0.00%,73.55MiB / 7.317GiB,0.98%,21.5MB / 10.8MB,7.25MB / 717kB
17:15:05,facultylens-perf-nginx,0.00%,15.3MiB / 7.317GiB,0.20%,868MB / 886MB,13.4MB / 4.1kB
17:15:05,facultylens-perf-redis,0.50%,17MiB / 7.317GiB,0.23%,537MB / 1.14GB,38.4MB / 726MB
17:15:05,facultylens-perf-mysql,3.21%,616.9MiB / 7.317GiB,8.23%,269MB / 923MB,50.6MB / 2.52GB
17:15:05,facultylens-perf-ai-service,0.13%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:15:12,facultylens-perf-scheduler,0.06%,31.84MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:15:12,facultylens-perf-worker,0.00%,40.5MiB / 7.317GiB,0.54%,42kB / 333kB,9.4MB / 709kB
17:15:12,facultylens-perf-app,12.53%,75.57MiB / 7.317GiB,1.01%,21.9MB / 15.7MB,7.25MB / 717kB
17:15:12,facultylens-perf-nginx,0.41%,15.4MiB / 7.317GiB,0.21%,869MB / 886MB,13.4MB / 4.1kB
17:15:12,facultylens-perf-redis,0.88%,17MiB / 7.317GiB,0.23%,541MB / 1.14GB,38.4MB / 730MB
17:15:12,facultylens-perf-mysql,3.70%,616.8MiB / 7.317GiB,8.23%,269MB / 924MB,50.6MB / 2.53GB
17:15:12,facultylens-perf-ai-service,0.12%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:15:19,facultylens-perf-scheduler,0.07%,31.84MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:15:19,facultylens-perf-worker,0.00%,40.5MiB / 7.317GiB,0.54%,43.4kB / 346kB,9.4MB / 709kB
17:15:19,facultylens-perf-app,0.00%,75.59MiB / 7.317GiB,1.01%,22.1MB / 18.2MB,7.25MB / 717kB
17:15:19,facultylens-perf-nginx,0.00%,15.4MiB / 7.317GiB,0.21%,869MB / 887MB,13.4MB / 4.1kB
17:15:19,facultylens-perf-redis,0.27%,13.17MiB / 7.317GiB,0.18%,543MB / 1.14GB,38.4MB / 732MB
17:15:19,facultylens-perf-mysql,0.35%,617.1MiB / 7.317GiB,8.24%,269MB / 924MB,50.6MB / 2.53GB
17:15:19,facultylens-perf-ai-service,0.08%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:15:27,facultylens-perf-scheduler,0.07%,31.84MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:15:27,facultylens-perf-worker,0.00%,40.5MiB / 7.317GiB,0.54%,44.9kB / 359kB,9.4MB / 709kB
17:15:27,facultylens-perf-app,0.00%,75.69MiB / 7.317GiB,1.01%,22.5MB / 23.2MB,7.25MB / 717kB
17:15:27,facultylens-perf-nginx,0.00%,15.4MiB / 7.317GiB,0.21%,870MB / 888MB,13.4MB / 4.1kB
17:15:27,facultylens-perf-redis,0.28%,17MiB / 7.317GiB,0.23%,547MB / 1.14GB,38.4MB / 736MB
17:15:27,facultylens-perf-mysql,0.53%,616.9MiB / 7.317GiB,8.23%,269MB / 924MB,50.6MB / 2.53GB
17:15:27,facultylens-perf-ai-service,0.09%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:15:34,facultylens-perf-scheduler,0.06%,31.84MiB / 7.317GiB,0.43%,1.79kB / 911B,610kB / 709kB
17:15:34,facultylens-perf-worker,0.07%,40.5MiB / 7.317GiB,0.54%,46.3kB / 372kB,9.4MB / 709kB
17:15:34,facultylens-perf-app,0.00%,77.98MiB / 7.317GiB,1.04%,22.9MB / 28.1MB,7.25MB / 717kB
17:15:34,facultylens-perf-nginx,0.00%,15.4MiB / 7.317GiB,0.21%,871MB / 888MB,13.4MB / 4.1kB
17:15:34,facultylens-perf-redis,0.36%,17.64MiB / 7.317GiB,0.24%,552MB / 1.14GB,38.6MB / 741MB
17:15:34,facultylens-perf-mysql,1.52%,616.9MiB / 7.317GiB,8.23%,269MB / 925MB,50.6MB / 2.53GB
17:15:34,facultylens-perf-ai-service,0.10%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
