ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:12:56,facultylens-perf-scheduler,2.34%,32.28MiB / 7.317GiB,0.43%,1.79kB / 911B,0B / 709kB
17:12:56,facultylens-perf-worker,16.32%,32.84MiB / 7.317GiB,0.44%,16.1kB / 112kB,0B / 709kB
17:12:56,facultylens-perf-app,0.58%,79.86MiB / 7.317GiB,1.07%,2.17MB / 1.14MB,1.65MB / 717kB
17:12:56,facultylens-perf-nginx,0.00%,15.47MiB / 7.317GiB,0.21%,863MB / 881MB,12.8MB / 4.1kB
17:12:56,facultylens-perf-redis,0.44%,11.88MiB / 7.317GiB,0.16%,534MB / 1.12GB,35.3MB / 723MB
17:12:56,facultylens-perf-mysql,0.81%,615.3MiB / 7.317GiB,8.21%,266MB / 917MB,44.2MB / 2.49GB
17:12:56,facultylens-perf-ai-service,3.16%,464.9MiB / 7.317GiB,6.21%,144MB / 7.06MB,553MB / 0B
17:13:03,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.79kB / 911B,0B / 709kB
17:13:03,facultylens-perf-worker,0.07%,32.62MiB / 7.317GiB,0.44%,17.6kB / 125kB,0B / 709kB
17:13:03,facultylens-perf-app,0.43%,73.2MiB / 7.317GiB,0.98%,2.86MB / 1.41MB,1.65MB / 717kB
17:13:03,facultylens-perf-nginx,0.03%,15.47MiB / 7.317GiB,0.21%,863MB / 881MB,12.8MB / 4.1kB
17:13:03,facultylens-perf-redis,0.34%,11.65MiB / 7.317GiB,0.16%,534MB / 1.12GB,35.3MB / 723MB
17:13:03,facultylens-perf-mysql,0.36%,615.3MiB / 7.317GiB,8.21%,267MB / 918MB,44.2MB / 2.49GB
17:13:03,facultylens-perf-ai-service,0.12%,464.9MiB / 7.317GiB,6.21%,144MB / 7.06MB,553MB / 0B
17:13:11,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.79kB / 911B,0B / 709kB
17:13:11,facultylens-perf-worker,0.00%,32.62MiB / 7.317GiB,0.44%,18.7kB / 135kB,0B / 709kB
