ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
16:39:56,facultylens-perf-worker,0.07%,42.83MiB / 7.317GiB,0.57%,141kB / 1.18MB,31.4MB / 709kB
16:39:56,facultylens-perf-scheduler,0.07%,31.85MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:39:56,facultylens-perf-app,15.24%,47.25MiB / 7.317GiB,0.63%,10.1MB / 8.1MB,1.5MB / 713kB
16:39:56,facultylens-perf-nginx,0.50%,14.34MiB / 7.317GiB,0.19%,3.45MB / 3.93MB,11.1MB / 4.1kB
16:39:56,facultylens-perf-redis,0.77%,7.594MiB / 7.317GiB,0.10%,5.97MB / 1.73MB,28.2MB / 3.26MB
16:39:56,facultylens-perf-mysql,29.32%,589.3MiB / 7.317GiB,7.87%,52.8MB / 76.5MB,41.6MB / 1.23GB
16:39:56,facultylens-perf-ai-service,0.09%,382.5MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:40:04,facultylens-perf-worker,0.00%,42.85MiB / 7.317GiB,0.57%,142kB / 1.19MB,31.4MB / 709kB
16:40:04,facultylens-perf-scheduler,0.08%,32.43MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:40:04,facultylens-perf-app,12.16%,47.02MiB / 7.317GiB,0.63%,15.7MB / 10.3MB,1.5MB / 713kB
16:40:04,facultylens-perf-nginx,0.34%,14.31MiB / 7.317GiB,0.19%,4.7MB / 5.22MB,11.1MB / 4.1kB
16:40:04,facultylens-perf-redis,0.56%,7.973MiB / 7.317GiB,0.11%,6.24MB / 5.18MB,28.2MB / 3.52MB
16:40:04,facultylens-perf-mysql,22.56%,589.8MiB / 7.317GiB,7.87%,53.5MB / 78.5MB,41.6MB / 1.23GB
16:40:04,facultylens-perf-ai-service,0.09%,382.5MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:40:11,facultylens-perf-worker,0.00%,42.86MiB / 7.317GiB,0.57%,144kB / 1.2MB,31.4MB / 709kB
16:40:11,facultylens-perf-scheduler,0.06%,32.43MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:40:11,facultylens-perf-app,7.58%,47.33MiB / 7.317GiB,0.63%,21.6MB / 12.4MB,1.5MB / 713kB
16:40:11,facultylens-perf-nginx,0.39%,14.37MiB / 7.317GiB,0.19%,6.1MB / 6.67MB,11.1MB / 4.1kB
16:40:11,facultylens-perf-redis,0.52%,7.945MiB / 7.317GiB,0.11%,6.45MB / 9.23MB,28.2MB / 3.65MB
16:40:11,facultylens-perf-mysql,17.14%,589.3MiB / 7.317GiB,7.87%,54.2MB / 80.2MB,41.6MB / 1.24GB
16:40:11,facultylens-perf-ai-service,0.10%,382.5MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
16:40:18,facultylens-perf-worker,0.07%,42.88MiB / 7.317GiB,0.57%,146kB / 1.21MB,31.4MB / 709kB
16:40:18,facultylens-perf-scheduler,0.08%,32.43MiB / 7.317GiB,0.43%,1.97kB / 911B,30.7MB / 709kB
16:40:18,facultylens-perf-app,8.30%,47.68MiB / 7.317GiB,0.64%,27.5MB / 14.6MB,1.5MB / 713kB
16:40:18,facultylens-perf-nginx,0.36%,14.33MiB / 7.317GiB,0.19%,7.51MB / 8.12MB,11.1MB / 4.1kB
16:40:18,facultylens-perf-redis,0.64%,7.637MiB / 7.317GiB,0.10%,6.67MB / 13.3MB,28.2MB / 3.79MB
16:40:18,facultylens-perf-mysql,20.12%,589.4MiB / 7.317GiB,7.87%,54.8MB / 82MB,41.6MB / 1.24GB
16:40:18,facultylens-perf-ai-service,0.10%,382.5MiB / 7.317GiB,5.11%,144MB / 7MB,377MB / 0B
