ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:27:55,facultylens-perf-scheduler,0.13%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:27:55,facultylens-perf-worker,0.10%,33.33MiB / 7.317GiB,0.44%,190kB / 1.59MB,10.6MB / 709kB
17:27:55,facultylens-perf-app,500.13%,143.9MiB / 7.317GiB,1.92%,178MB / 162MB,14MB / 782kB
17:27:55,facultylens-perf-nginx,5.03%,16.03MiB / 7.317GiB,0.21%,940MB / 959MB,14.1MB / 4.1kB
17:27:55,facultylens-perf-redis,2.56%,19.75MiB / 7.317GiB,0.26%,609MB / 1.23GB,42.3MB / 795MB
17:27:55,facultylens-perf-mysql,408.95%,622.5MiB / 7.317GiB,8.31%,285MB / 994MB,53.3MB / 2.83GB
17:27:55,facultylens-perf-ai-service,0.19%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:28:02,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:02,facultylens-perf-worker,0.06%,33.34MiB / 7.317GiB,0.44%,192kB / 1.61MB,10.6MB / 709kB
17:28:02,facultylens-perf-app,1.45%,108.7MiB / 7.317GiB,1.45%,221MB / 184MB,14MB / 782kB
17:28:02,facultylens-perf-nginx,0.03%,15.51MiB / 7.317GiB,0.21%,953MB / 972MB,14.1MB / 4.1kB
17:28:02,facultylens-perf-redis,0.43%,21.59MiB / 7.317GiB,0.29%,611MB / 1.25GB,42.3MB / 798MB
17:28:02,facultylens-perf-mysql,1.86%,662.7MiB / 7.317GiB,8.85%,288MB / 1GB,54.3MB / 2.85GB
17:28:02,facultylens-perf-ai-service,0.10%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:28:09,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:09,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,193kB / 1.62MB,10.6MB / 709kB
17:28:09,facultylens-perf-app,0.00%,109.1MiB / 7.317GiB,1.46%,242MB / 194MB,14MB / 782kB
17:28:09,facultylens-perf-nginx,0.00%,15.53MiB / 7.317GiB,0.21%,961MB / 980MB,14.1MB / 4.1kB
17:28:09,facultylens-perf-redis,0.33%,21.8MiB / 7.317GiB,0.29%,611MB / 1.26GB,42.3MB / 799MB
17:28:09,facultylens-perf-mysql,0.83%,663.5MiB / 7.317GiB,8.86%,290MB / 1.01GB,54.3MB / 2.87GB
17:28:09,facultylens-perf-ai-service,0.09%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:28:17,facultylens-perf-scheduler,0.08%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:17,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,194kB / 1.63MB,10.6MB / 709kB
17:28:17,facultylens-perf-app,9.52%,108.9MiB / 7.317GiB,1.45%,264MB / 205MB,14MB / 782kB
17:28:17,facultylens-perf-nginx,7.29%,15.64MiB / 7.317GiB,0.21%,974MB / 994MB,14.1MB / 4.1kB
17:28:17,facultylens-perf-redis,4.42%,22.4MiB / 7.317GiB,0.30%,612MB / 1.29GB,42.4MB / 799MB
17:28:17,facultylens-perf-mysql,120.83%,663.9MiB / 7.317GiB,8.86%,292MB / 1.02GB,54.3MB / 2.91GB
17:28:17,facultylens-perf-ai-service,0.12%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:28:24,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:24,facultylens-perf-worker,0.09%,33.34MiB / 7.317GiB,0.44%,196kB / 1.64MB,10.6MB / 709kB
17:28:24,facultylens-perf-app,0.00%,118.2MiB / 7.317GiB,1.58%,308MB / 226MB,14MB / 885kB
17:28:24,facultylens-perf-nginx,0.00%,15.53MiB / 7.317GiB,0.21%,986MB / 1.01GB,14.1MB / 4.1kB
