ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:01:18,facultylens-perf-worker,0.07%,33.01MiB / 7.317GiB,0.44%,390kB / 3.29MB,32.3MB / 709kB
17:01:18,facultylens-perf-scheduler,0.07%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:01:18,facultylens-perf-app,228.72%,148.9MiB / 7.317GiB,1.99%,1.35GB / 1.07GB,3.25MB / 1.88MB
17:01:18,facultylens-perf-nginx,0.64%,15.98MiB / 7.317GiB,0.21%,584MB / 596MB,12.8MB / 4.1kB
17:01:18,facultylens-perf-redis,1.10%,39.34MiB / 7.317GiB,0.53%,372MB / 758MB,34.4MB / 503MB
17:01:18,facultylens-perf-mysql,179.08%,610.3MiB / 7.317GiB,8.15%,194MB / 624MB,44.2MB / 2.04GB
17:01:18,facultylens-perf-ai-service,0.12%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:01:26,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,392kB / 3.3MB,32.3MB / 709kB
17:01:26,facultylens-perf-scheduler,0.07%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:01:26,facultylens-perf-app,0.00%,59.52MiB / 7.317GiB,0.79%,1.37GB / 1.09GB,3.25MB / 1.88MB
17:01:26,facultylens-perf-nginx,0.00%,15.49MiB / 7.317GiB,0.21%,591MB / 603MB,12.8MB / 4.1kB
17:01:26,facultylens-perf-redis,2.56%,48.11MiB / 7.317GiB,0.64%,378MB / 764MB,34.5MB / 514MB
17:01:26,facultylens-perf-mysql,2.30%,610.3MiB / 7.317GiB,8.15%,198MB / 641MB,44.2MB / 2.06GB
17:01:26,facultylens-perf-ai-service,3.60%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:01:33,facultylens-perf-worker,0.07%,33.01MiB / 7.317GiB,0.44%,393kB / 3.31MB,32.3MB / 709kB
17:01:33,facultylens-perf-scheduler,0.07%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:01:33,facultylens-perf-app,5.21%,55.17MiB / 7.317GiB,0.74%,1.39GB / 1.11GB,3.25MB / 1.88MB
17:01:33,facultylens-perf-nginx,0.27%,15.5MiB / 7.317GiB,0.21%,599MB / 611MB,12.8MB / 4.1kB
17:01:33,facultylens-perf-redis,0.54%,50.33MiB / 7.317GiB,0.67%,383MB / 775MB,34.5MB / 519MB
17:01:33,facultylens-perf-mysql,30.46%,610.4MiB / 7.317GiB,8.15%,199MB / 648MB,44.2MB / 2.08GB
17:01:33,facultylens-perf-ai-service,0.11%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:01:40,facultylens-perf-worker,0.06%,33.01MiB / 7.317GiB,0.44%,394kB / 3.32MB,32.3MB / 709kB
17:01:40,facultylens-perf-scheduler,0.06%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:01:40,facultylens-perf-app,27.94%,53.09MiB / 7.317GiB,0.71%,1.41GB / 1.12GB,3.25MB / 1.88MB
17:01:40,facultylens-perf-nginx,1.90%,15.88MiB / 7.317GiB,0.21%,610MB / 623MB,12.8MB / 4.1kB
