ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
16:50:05,facultylens-perf-worker,0.10%,33.01MiB / 7.317GiB,0.44%,259kB / 2.18MB,32.3MB / 709kB
16:50:05,facultylens-perf-scheduler,0.07%,42.43MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:05,facultylens-perf-app,51.81%,51.09MiB / 7.317GiB,0.68%,61.5MB / 115MB,1.51MB / 713kB
16:50:05,facultylens-perf-nginx,2.36%,14.55MiB / 7.317GiB,0.19%,39.4MB / 40.8MB,11.8MB / 4.1kB
16:50:05,facultylens-perf-redis,0.62%,11.42MiB / 7.317GiB,0.15%,72.7MB / 23MB,31.7MB / 69.3MB
16:50:05,facultylens-perf-mysql,7.79%,589.2MiB / 7.317GiB,7.86%,59.9MB / 104MB,44.1MB / 1.37GB
16:50:05,facultylens-perf-ai-service,0.12%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:12,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,260kB / 2.19MB,32.3MB / 709kB
16:50:12,facultylens-perf-scheduler,0.08%,42.48MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:12,facultylens-perf-app,0.01%,49.1MiB / 7.317GiB,0.66%,62.4MB / 116MB,1.51MB / 713kB
16:50:12,facultylens-perf-nginx,0.00%,14.43MiB / 7.317GiB,0.19%,39.8MB / 41.2MB,11.8MB / 4.1kB
16:50:12,facultylens-perf-redis,0.37%,11.93MiB / 7.317GiB,0.16%,73MB / 23.3MB,31.8MB / 69.7MB
16:50:12,facultylens-perf-mysql,0.58%,589MiB / 7.317GiB,7.86%,59.9MB / 105MB,44.1MB / 1.37GB
16:50:12,facultylens-perf-ai-service,0.11%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:19,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,262kB / 2.2MB,32.3MB / 709kB
16:50:19,facultylens-perf-scheduler,0.08%,42.44MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:19,facultylens-perf-app,0.00%,49.11MiB / 7.317GiB,0.66%,63MB / 117MB,1.51MB / 713kB
16:50:19,facultylens-perf-nginx,0.00%,14.43MiB / 7.317GiB,0.19%,40.1MB / 41.5MB,11.8MB / 4.1kB
16:50:19,facultylens-perf-redis,0.33%,12.37MiB / 7.317GiB,0.17%,73.4MB / 23.6MB,31.8MB / 70.1MB
16:50:19,facultylens-perf-mysql,3.05%,589MiB / 7.317GiB,7.86%,60MB / 105MB,44.1MB / 1.37GB
16:50:19,facultylens-perf-ai-service,0.10%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:26,facultylens-perf-worker,0.07%,33.01MiB / 7.317GiB,0.44%,264kB / 2.22MB,32.3MB / 709kB
16:50:26,facultylens-perf-scheduler,0.09%,42.44MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:26,facultylens-perf-app,0.00%,48.43MiB / 7.317GiB,0.65%,64.5MB / 119MB,2.11MB / 717kB
16:50:26,facultylens-perf-nginx,0.00%,14.45MiB / 7.317GiB,0.19%,41MB / 42.5MB,11.8MB / 4.1kB
16:50:26,facultylens-perf-redis,0.47%,13.71MiB / 7.317GiB,0.18%,74.5MB / 24.2MB,31.8MB / 71.1MB
16:50:26,facultylens-perf-mysql,0.79%,589MiB / 7.317GiB,7.86%,60.2MB / 106MB,44.1MB / 1.37GB
16:50:26,facultylens-perf-ai-service,0.10%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:34,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,265kB / 2.23MB,32.3MB / 709kB
16:50:34,facultylens-perf-scheduler,0.08%,42.44MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:34,facultylens-perf-app,0.00%,52.09MiB / 7.317GiB,0.70%,65.1MB / 120MB,2.11MB / 717kB
16:50:34,facultylens-perf-nginx,0.00%,14.43MiB / 7.317GiB,0.19%,41.5MB / 43MB,11.8MB / 4.1kB
16:50:34,facultylens-perf-redis,2.68%,13.23MiB / 7.317GiB,0.18%,75.2MB / 24.5MB,31.8MB / 71.8MB
16:50:34,facultylens-perf-mysql,0.43%,589MiB / 7.317GiB,7.86%,60.3MB / 106MB,44.1MB / 1.38GB
16:50:34,facultylens-perf-ai-service,0.11%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:41,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,266kB / 2.24MB,32.3MB / 709kB
16:50:41,facultylens-perf-scheduler,0.07%,42.44MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:41,facultylens-perf-app,0.00%,50.42MiB / 7.317GiB,0.67%,65.7MB / 121MB,2.11MB / 717kB
16:50:41,facultylens-perf-nginx,0.00%,14.44MiB / 7.317GiB,0.19%,41.7MB / 43.1MB,11.8MB / 4.1kB
16:50:41,facultylens-perf-redis,0.31%,13.19MiB / 7.317GiB,0.18%,75.3MB / 24.8MB,31.8MB / 71.9MB
16:50:41,facultylens-perf-mysql,0.42%,589MiB / 7.317GiB,7.86%,60.4MB / 106MB,44.1MB / 1.38GB
16:50:41,facultylens-perf-ai-service,0.12%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
16:50:48,facultylens-perf-worker,0.08%,33.01MiB / 7.317GiB,0.44%,268kB / 2.25MB,32.3MB / 709kB
16:50:48,facultylens-perf-scheduler,0.07%,42.44MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:50:48,facultylens-perf-app,0.00%,50.42MiB / 7.317GiB,0.67%,66.9MB / 121MB,2.11MB / 717kB
16:50:48,facultylens-perf-nginx,0.00%,14.44MiB / 7.317GiB,0.19%,42.1MB / 43.6MB,11.8MB / 4.1kB
16:50:48,facultylens-perf-redis,0.37%,13.64MiB / 7.317GiB,0.18%,75.5MB / 25.3MB,31.8MB / 72.1MB
16:50:48,facultylens-perf-mysql,0.58%,589.5MiB / 7.317GiB,7.87%,60.6MB / 107MB,44.1MB / 1.38GB
16:50:48,facultylens-perf-ai-service,0.10%,382.6MiB / 7.317GiB,5.11%,144MB / 7MB,386MB / 0B
