ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
23:31:20,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:31:20,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,577kB / 536kB,147kB / 709kB
23:31:20,facultylens-perf-app,0.00%,135.1MiB / 7.317GiB,1.80%,4.75GB / 755MB,6.32MB / 1.62MB
23:31:20,facultylens-perf-ai-service,0.08%,468.6MiB / 7.317GiB,6.25%,429kB / 90.8kB,326MB / 0B
23:31:20,facultylens-perf-nginx,0.00%,16.25MiB / 7.317GiB,0.22%,555MB / 564MB,8.15MB / 4.1kB
23:31:20,facultylens-perf-redis,3.36%,79.82MiB / 7.317GiB,1.07%,89.8MB / 883MB,33.8MB / 85.5MB
23:31:20,facultylens-perf-mysql,0.50%,928.7MiB / 7.317GiB,12.40%,124MB / 3.84GB,357MB / 394MB
23:31:27,facultylens-perf-scheduler,0.08%,32.29MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:31:27,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,577kB / 539kB,147kB / 709kB
23:31:27,facultylens-perf-app,9.38%,110MiB / 7.317GiB,1.47%,4.75GB / 757MB,6.32MB / 1.62MB
23:31:27,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,429kB / 90.8kB,326MB / 0B
23:31:27,facultylens-perf-nginx,0.42%,16.26MiB / 7.317GiB,0.22%,557MB / 566MB,8.15MB / 4.1kB
23:31:27,facultylens-perf-redis,0.91%,76.16MiB / 7.317GiB,1.02%,89.8MB / 886MB,33.9MB / 85.6MB
23:31:27,facultylens-perf-mysql,6.79%,928.7MiB / 7.317GiB,12.40%,124MB / 3.84GB,357MB / 402MB
23:31:35,facultylens-perf-scheduler,0.06%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:31:35,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,578kB / 546kB,147kB / 709kB
23:31:35,facultylens-perf-app,36.08%,108.1MiB / 7.317GiB,1.44%,4.76GB / 761MB,6.33MB / 1.62MB
23:31:35,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,430kB / 91.3kB,326MB / 0B
23:31:35,facultylens-perf-nginx,1.09%,16.38MiB / 7.317GiB,0.22%,561MB / 569MB,8.15MB / 4.1kB
23:31:35,facultylens-perf-redis,1.52%,75.27MiB / 7.317GiB,1.00%,90MB / 892MB,33.9MB / 85.6MB
23:31:35,facultylens-perf-mysql,12.84%,928.8MiB / 7.317GiB,12.40%,124MB / 3.84GB,357MB / 408MB
23:31:42,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:31:42,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,579kB / 549kB,147kB / 709kB
23:31:42,facultylens-perf-app,35.64%,109.8MiB / 7.317GiB,1.47%,4.77GB / 766MB,6.33MB / 1.63MB
23:31:42,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,430kB / 91.4kB,326MB / 0B
23:31:42,facultylens-perf-nginx,0.52%,16.37MiB / 7.317GiB,0.22%,566MB / 574MB,8.15MB / 4.1kB
23:31:42,facultylens-perf-redis,0.95%,76.65MiB / 7.317GiB,1.02%,90.2MB / 901MB,33.9MB / 85.7MB
23:31:42,facultylens-perf-mysql,7.09%,929.2MiB / 7.317GiB,12.40%,125MB / 3.84GB,357MB / 416MB
23:31:49,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:31:49,facultylens-perf-worker,0.07%,43.99MiB / 7.317GiB,0.59%,579kB / 553kB,147kB / 709kB
23:31:49,facultylens-perf-app,21.67%,106.2MiB / 7.317GiB,1.42%,4.78GB / 773MB,6.33MB / 1.64MB
23:31:49,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,430kB / 91.4kB,326MB / 0B
23:31:49,facultylens-perf-nginx,0.92%,16.44MiB / 7.317GiB,0.22%,571MB / 580MB,8.15MB / 4.1kB
23:31:49,facultylens-perf-redis,3.90%,76.88MiB / 7.317GiB,1.03%,90.6MB / 912MB,34MB / 85.8MB
23:31:49,facultylens-perf-mysql,13.48%,928.8MiB / 7.317GiB,12.40%,126MB / 3.85GB,357MB / 426MB
23:31:56,facultylens-perf-scheduler,2.19%,32.66MiB / 7.317GiB,0.44%,1.88kB / 911B,0B / 709kB
23:31:56,facultylens-perf-worker,0.09%,43.99MiB / 7.317GiB,0.59%,580kB / 556kB,147kB / 709kB
23:31:56,facultylens-perf-app,47.73%,107.9MiB / 7.317GiB,1.44%,4.8GB / 782MB,6.33MB / 1.65MB
23:31:56,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,430kB / 91.4kB,326MB / 0B
23:31:56,facultylens-perf-nginx,1.39%,16.39MiB / 7.317GiB,0.22%,579MB / 588MB,8.15MB / 4.1kB
23:31:56,facultylens-perf-redis,2.06%,76.34MiB / 7.317GiB,1.02%,91MB / 926MB,34MB / 85.9MB
23:31:56,facultylens-perf-mysql,17.90%,928.8MiB / 7.317GiB,12.40%,127MB / 3.85GB,357MB / 435MB
23:32:04,facultylens-perf-scheduler,0.06%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:32:04,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,581kB / 561kB,147kB / 709kB
23:32:04,facultylens-perf-app,34.52%,108.2MiB / 7.317GiB,1.44%,4.82GB / 793MB,6.33MB / 1.65MB
23:32:04,facultylens-perf-ai-service,0.09%,468.6MiB / 7.317GiB,6.25%,430kB / 91.4kB,326MB / 0B
23:32:04,facultylens-perf-nginx,1.58%,16.5MiB / 7.317GiB,0.22%,588MB / 597MB,8.15MB / 4.1kB
23:32:04,facultylens-perf-redis,2.29%,76.59MiB / 7.317GiB,1.02%,91.4MB / 942MB,34MB / 86MB
23:32:04,facultylens-perf-mysql,18.71%,929.3MiB / 7.317GiB,12.40%,127MB / 3.85GB,357MB / 443MB
23:32:11,facultylens-perf-scheduler,0.07%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:32:11,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,582kB / 564kB,147kB / 709kB
23:32:11,facultylens-perf-app,38.31%,112.3MiB / 7.317GiB,1.50%,4.84GB / 805MB,6.33MB / 1.68MB
23:32:11,facultylens-perf-ai-service,0.11%,468.6MiB / 7.317GiB,6.25%,431kB / 92.4kB,326MB / 0B
23:32:11,facultylens-perf-nginx,1.92%,16.61MiB / 7.317GiB,0.22%,599MB / 609MB,8.15MB / 4.1kB
23:32:11,facultylens-perf-redis,2.39%,76.32MiB / 7.317GiB,1.02%,91.9MB / 961MB,34MB / 86.1MB
23:32:11,facultylens-perf-mysql,21.20%,929.1MiB / 7.317GiB,12.40%,129MB / 3.86GB,357MB / 454MB
23:32:18,facultylens-perf-scheduler,0.08%,32.29MiB / 7.317GiB,0.43%,1.88kB / 911B,0B / 709kB
23:32:18,facultylens-perf-worker,0.00%,43.99MiB / 7.317GiB,0.59%,582kB / 568kB,147kB / 709kB
23:32:18,facultylens-perf-app,56.53%,109.5MiB / 7.317GiB,1.46%,4.87GB / 818MB,6.33MB / 1.7MB
23:32:18,facultylens-perf-ai-service,0.11%,468.6MiB / 7.317GiB,6.25%,433kB / 93.5kB,326MB / 0B
23:32:18,facultylens-perf-nginx,1.71%,16.6MiB / 7.317GiB,0.22%,609MB / 618MB,8.15MB / 4.1kB
