ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
23:27:43,facultylens-perf-scheduler,0.06%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:27:43,facultylens-perf-worker,0.00%,42.69MiB / 7.317GiB,0.57%,186kB / 160kB,147kB / 709kB
23:27:43,facultylens-perf-app,45.30%,93.61MiB / 7.317GiB,1.25%,3.07MB / 1.77MB,6.32MB / 713kB
23:27:43,facultylens-perf-ai-service,0.10%,438.2MiB / 7.317GiB,5.85%,185kB / 21.7kB,324MB / 0B
23:27:43,facultylens-perf-nginx,0.44%,14.76MiB / 7.317GiB,0.20%,1.21MB / 1.38MB,7.37MB / 4.1kB
23:27:43,facultylens-perf-redis,1.20%,9.605MiB / 7.317GiB,0.13%,1.36MB / 282kB,33MB / 655kB
23:27:43,facultylens-perf-mysql,21.67%,714MiB / 7.317GiB,9.53%,921kB / 15.1MB,349MB / 24.2MB
23:27:50,facultylens-perf-scheduler,0.07%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:27:50,facultylens-perf-worker,0.00%,42.69MiB / 7.317GiB,0.57%,187kB / 163kB,147kB / 709kB
23:27:50,facultylens-perf-app,0.00%,100.5MiB / 7.317GiB,1.34%,30.7MB / 4.88MB,6.32MB / 713kB
23:27:50,facultylens-perf-ai-service,0.09%,438.2MiB / 7.317GiB,5.85%,185kB / 21.7kB,324MB / 0B
23:27:50,facultylens-perf-nginx,0.00%,14.75MiB / 7.317GiB,0.20%,1.99MB / 2.17MB,7.37MB / 4.1kB
23:27:50,facultylens-perf-redis,1.11%,11.54MiB / 7.317GiB,0.15%,2.34MB / 620kB,33MB / 1.15MB
23:27:50,facultylens-perf-mysql,0.38%,719.3MiB / 7.317GiB,9.60%,1.21MB / 29.8MB,352MB / 27.1MB
23:27:58,facultylens-perf-scheduler,2.32%,32.31MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:27:58,facultylens-perf-worker,0.00%,43.57MiB / 7.317GiB,0.58%,368kB / 297kB,147kB / 709kB
23:27:58,facultylens-perf-app,0.00%,102.8MiB / 7.317GiB,1.37%,47.9MB / 8.84MB,6.32MB / 713kB
23:27:58,facultylens-perf-ai-service,0.09%,438.2MiB / 7.317GiB,5.85%,299kB / 22.5kB,324MB / 0B
23:27:58,facultylens-perf-nginx,0.00%,14.75MiB / 7.317GiB,0.20%,3.61MB / 3.81MB,7.37MB / 4.1kB
23:27:58,facultylens-perf-redis,0.27%,14.17MiB / 7.317GiB,0.19%,4.33MB / 1.29MB,33MB / 3.56MB
23:27:58,facultylens-perf-mysql,0.42%,721.4MiB / 7.317GiB,9.63%,1.61MB / 46.4MB,352MB / 29.3MB
23:28:05,facultylens-perf-scheduler,0.08%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:28:05,facultylens-perf-worker,0.00%,43.58MiB / 7.317GiB,0.58%,368kB / 301kB,147kB / 709kB
23:28:05,facultylens-perf-app,16.73%,84.46MiB / 7.317GiB,1.13%,104MB / 13.9MB,6.32MB / 717kB
23:28:05,facultylens-perf-ai-service,0.08%,438.2MiB / 7.317GiB,5.85%,299kB / 22.6kB,324MB / 0B
23:28:05,facultylens-perf-nginx,0.48%,14.79MiB / 7.317GiB,0.20%,5.86MB / 6.1MB,7.37MB / 4.1kB
23:28:05,facultylens-perf-redis,0.99%,13.91MiB / 7.317GiB,0.19%,6.35MB / 2.65MB,33.1MB / 5.51MB
23:28:05,facultylens-perf-mysql,13.43%,723.6MiB / 7.317GiB,9.66%,2.48MB / 101MB,352MB / 32.8MB
23:28:12,facultylens-perf-scheduler,0.06%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:28:12,facultylens-perf-worker,0.00%,43.58MiB / 7.317GiB,0.58%,369kB / 304kB,147kB / 709kB
23:28:12,facultylens-perf-app,15.65%,74.3MiB / 7.317GiB,0.99%,131MB / 18.6MB,6.32MB / 721kB
23:28:12,facultylens-perf-ai-service,0.10%,438.2MiB / 7.317GiB,5.85%,299kB / 22.6kB,324MB / 0B
23:28:12,facultylens-perf-nginx,0.45%,14.76MiB / 7.317GiB,0.20%,9.24MB / 9.52MB,7.37MB / 4.1kB
23:28:12,facultylens-perf-redis,1.06%,16.93MiB / 7.317GiB,0.23%,6.98MB / 6.97MB,33.1MB / 6.79MB
23:28:12,facultylens-perf-mysql,10.91%,725.4MiB / 7.317GiB,9.68%,3.21MB / 123MB,353MB / 34MB
23:28:19,facultylens-perf-scheduler,0.06%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:28:19,facultylens-perf-worker,0.00%,43.58MiB / 7.317GiB,0.58%,370kB / 308kB,147kB / 709kB
23:28:19,facultylens-perf-app,15.43%,75.93MiB / 7.317GiB,1.01%,160MB / 23.5MB,6.32MB / 725kB
23:28:19,facultylens-perf-ai-service,0.09%,438.2MiB / 7.317GiB,5.85%,299kB / 22.6kB,324MB / 0B
23:28:19,facultylens-perf-nginx,0.49%,14.77MiB / 7.317GiB,0.20%,12.8MB / 13.1MB,7.37MB / 4.1kB
23:28:19,facultylens-perf-redis,0.87%,16.99MiB / 7.317GiB,0.23%,7.56MB / 13.9MB,33.1MB / 7.22MB
23:28:19,facultylens-perf-mysql,10.55%,726.8MiB / 7.317GiB,9.70%,4.02MB / 145MB,353MB / 36.1MB
23:28:27,facultylens-perf-scheduler,0.06%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
23:28:27,facultylens-perf-worker,0.00%,43.57MiB / 7.317GiB,0.58%,370kB / 311kB,147kB / 709kB
23:28:27,facultylens-perf-app,29.33%,73.97MiB / 7.317GiB,0.99%,193MB / 29.1MB,6.32MB / 729kB
23:28:27,facultylens-perf-ai-service,0.09%,438.2MiB / 7.317GiB,5.85%,299kB / 22.6kB,324MB / 0B
23:28:27,facultylens-perf-nginx,0.89%,15.01MiB / 7.317GiB,0.20%,17MB / 17.3MB,7.37MB / 4.1kB
23:28:27,facultylens-perf-redis,1.52%,17.85MiB / 7.317GiB,0.24%,8.18MB / 20.8MB,33.2MB / 7.72MB
23:28:27,facultylens-perf-mysql,21.95%,728MiB / 7.317GiB,9.72%,5.01MB / 171MB,353MB / 40.5MB
23:28:34,facultylens-perf-scheduler,0.05%,32.3MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
