ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:55:47,facultylens-perf-worker,45.38%,52.62MiB / 7.317GiB,0.70%,11.7MB / 10.7MB,0B / 709kB
17:55:47,facultylens-perf-scheduler,0.05%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:55:47,facultylens-perf-app,211.22%,65.52MiB / 7.317GiB,0.87%,39.7MB / 12MB,0B / 713kB
17:55:47,facultylens-perf-ai-service,613.41%,472.1MiB / 7.317GiB,6.30%,15.7MB / 30.4MB,0B / 0B
17:55:47,facultylens-perf-nginx,0.00%,15.51MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:55:47,facultylens-perf-redis,6.17%,11.09MiB / 7.317GiB,0.15%,661MB / 2.03GB,44.1MB / 839MB
17:55:47,facultylens-perf-mysql,36.23%,778.8MiB / 7.317GiB,10.40%,436MB / 1.46GB,54.4MB / 4GB
17:55:54,facultylens-perf-worker,43.78%,53.06MiB / 7.317GiB,0.71%,29.3MB / 27.8MB,0B / 709kB
17:55:54,facultylens-perf-scheduler,0.05%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:55:54,facultylens-perf-app,10.35%,65.64MiB / 7.317GiB,0.88%,44.7MB / 13MB,0B / 713kB
17:55:54,facultylens-perf-ai-service,435.91%,472.1MiB / 7.317GiB,6.30%,19.8MB / 35MB,0B / 0B
17:55:54,facultylens-perf-nginx,0.68%,15.53MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:55:54,facultylens-perf-redis,8.51%,11.12MiB / 7.317GiB,0.15%,663MB / 2.03GB,44.1MB / 839MB
17:55:54,facultylens-perf-mysql,40.85%,785.3MiB / 7.317GiB,10.48%,448MB / 1.48GB,54.4MB / 4.05GB
17:56:01,facultylens-perf-worker,0.00%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:01,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:01,facultylens-perf-app,4.48%,65.38MiB / 7.317GiB,0.87%,45.2MB / 13.4MB,0B / 713kB
17:56:01,facultylens-perf-ai-service,0.20%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:01,facultylens-perf-nginx,0.32%,15.52MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:01,facultylens-perf-redis,0.70%,11.29MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:01,facultylens-perf-mysql,5.17%,787.4MiB / 7.317GiB,10.51%,452MB / 1.48GB,54.4MB / 4.08GB
17:56:09,facultylens-perf-worker,0.00%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:09,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:09,facultylens-perf-app,8.48%,65.38MiB / 7.317GiB,0.87%,45.8MB / 13.8MB,0B / 713kB
17:56:09,facultylens-perf-ai-service,0.12%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:09,facultylens-perf-nginx,2.96%,16.44MiB / 7.317GiB,0.22%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:09,facultylens-perf-redis,0.74%,10.94MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:09,facultylens-perf-mysql,3.78%,786.9MiB / 7.317GiB,10.50%,452MB / 1.48GB,54.4MB / 4.08GB
17:56:16,facultylens-perf-worker,0.01%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:16,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:16,facultylens-perf-app,8.29%,65.48MiB / 7.317GiB,0.87%,46.3MB / 14.2MB,0B / 713kB
17:56:16,facultylens-perf-ai-service,0.12%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:16,facultylens-perf-nginx,0.32%,15.51MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:16,facultylens-perf-redis,0.54%,10.95MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:16,facultylens-perf-mysql,3.84%,787MiB / 7.317GiB,10.50%,452MB / 1.48GB,54.4MB / 4.08GB
17:56:23,facultylens-perf-worker,0.00%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:23,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:23,facultylens-perf-app,8.39%,65.45MiB / 7.317GiB,0.87%,46.9MB / 14.7MB,0B / 713kB
17:56:23,facultylens-perf-ai-service,0.12%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:23,facultylens-perf-nginx,0.65%,15.52MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:23,facultylens-perf-redis,0.73%,10.95MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:23,facultylens-perf-mysql,2.57%,787MiB / 7.317GiB,10.50%,452MB / 1.48GB,54.4MB / 4.08GB
17:56:30,facultylens-perf-worker,0.01%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:30,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:30,facultylens-perf-app,4.42%,65.54MiB / 7.317GiB,0.87%,47.4MB / 15.1MB,0B / 713kB
17:56:30,facultylens-perf-ai-service,0.11%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:30,facultylens-perf-nginx,0.32%,15.51MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:30,facultylens-perf-redis,0.56%,11.2MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:30,facultylens-perf-mysql,3.03%,787.2MiB / 7.317GiB,10.51%,452MB / 1.48GB,54.4MB / 4.11GB
17:56:38,facultylens-perf-worker,0.01%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:38,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
