ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:57:26,facultylens-perf-worker,0.00%,52.79MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:57:26,facultylens-perf-scheduler,0.09%,32.27MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:57:26,facultylens-perf-app,0.00%,77.2MiB / 7.317GiB,1.03%,64.9MB / 17.6MB,4.1kB / 1.6MB
17:57:26,facultylens-perf-ai-service,0.09%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:57:26,facultylens-perf-nginx,0.00%,15.51MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:57:26,facultylens-perf-redis,0.36%,11.21MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 839MB
17:57:26,facultylens-perf-mysql,0.53%,787.1MiB / 7.317GiB,10.51%,453MB / 1.5GB,54.4MB / 4.15GB
17:57:33,facultylens-perf-worker,0.00%,52.79MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:57:33,facultylens-perf-scheduler,0.07%,32.27MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:57:33,facultylens-perf-app,21.74%,85.46MiB / 7.317GiB,1.14%,66.5MB / 19.7MB,4.1kB / 3.37MB
17:57:33,facultylens-perf-ai-service,0.09%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:57:33,facultylens-perf-nginx,0.37%,15.53MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:57:33,facultylens-perf-redis,0.42%,10.97MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 840MB
17:57:33,facultylens-perf-mysql,6.41%,787.1MiB / 7.317GiB,10.51%,453MB / 1.5GB,54.4MB / 4.15GB
17:57:40,facultylens-perf-worker,0.01%,52.8MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:57:40,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:57:40,facultylens-perf-app,0.00%,76.04MiB / 7.317GiB,1.01%,66.9MB / 20MB,4.1kB / 3.37MB
17:57:40,facultylens-perf-ai-service,0.10%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:57:40,facultylens-perf-nginx,0.00%,15.52MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:57:40,facultylens-perf-redis,0.31%,10.96MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 840MB
17:57:40,facultylens-perf-mysql,0.64%,787.1MiB / 7.317GiB,10.51%,453MB / 1.5GB,54.4MB / 4.15GB
17:57:48,facultylens-perf-worker,0.01%,52.8MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:57:48,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:57:48,facultylens-perf-app,0.00%,74.26MiB / 7.317GiB,0.99%,68.7MB / 20.4MB,4.1kB / 3.46MB
17:57:48,facultylens-perf-ai-service,0.09%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:57:48,facultylens-perf-nginx,0.00%,15.51MiB / 7.317GiB,0.21%,1.4GB / 1.42GB,14.1MB / 4.1kB
17:57:48,facultylens-perf-redis,0.33%,11.21MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 840MB
17:57:48,facultylens-perf-mysql,0.48%,787.2MiB / 7.317GiB,10.51%,454MB / 1.5GB,54.4MB / 4.15GB
17:57:55,facultylens-perf-worker,0.01%,52.8MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:57:55,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:57:55,facultylens-perf-app,9.41%,74.64MiB / 7.317GiB,1.00%,69.2MB / 21MB,4.1kB / 3.49MB
17:57:55,facultylens-perf-ai-service,0.13%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:57:55,facultylens-perf-nginx,0.27%,15.51MiB / 7.317GiB,0.21%,1.4GB / 1.42GB,14.1MB / 4.1kB
17:57:55,facultylens-perf-redis,0.47%,10.96MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 840MB
17:57:55,facultylens-perf-mysql,0.50%,787.1MiB / 7.317GiB,10.51%,454MB / 1.51GB,54.4MB / 4.16GB
17:58:02,facultylens-perf-worker,0.01%,52.8MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:58:02,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:58:02,facultylens-perf-app,0.00%,72.66MiB / 7.317GiB,0.97%,69.4MB / 21.2MB,4.1kB / 3.51MB
